Age,Beg.,Nov.,Int.,Adv.,Elite
15,55,91,137,193,255
20,63,104,157,221,292
25,65,107,161,227,300
30,65,107,161,227,300
35,65,107,161,227,300
40,65,107,161,227,300
45,62,101,153,215,284
50,58,95,143,202,267
55,54,88,133,187,247
60,49,80,121,170,225
65,44,72,109,154,203
70,40,65,98,138,183
75,35,58,88,123,163
80,32,52,78,110,146
85,28,47,70,99,131
90,26,42,63,89,118
