Age,Beg.,Nov.,Int.,Adv.,Elite
15,76,113,160,215,275
20,87,130,183,246,315
25,89,133,188,253,323
30,89,133,188,253,323
35,89,133,188,253,323
40,89,133,188,253,323
45,85,126,179,240,307
50,80,119,168,225,288
55,74,110,155,208,266
60,67,100,141,190,243
65,61,90,128,172,220
70,54,81,115,154,197
75,49,73,103,138,176
80,44,65,92,123,158
85,39,58,82,110,141
90,35,52,74,100,127
