Age,Beg.,Nov.,Int.,Adv.,Elite
15,88,131,185,248,317
20,101,150,211,284,363
25,103,154,217,291,372
30,103,154,217,291,372
35,103,154,217,291,372
40,103,154,217,291,372
45,98,146,206,276,353
50,92,137,193,259,331
55,85,127,179,240,306
60,78,115,163,219,280
65,70,104,147,198,253
70,63,94,132,177,227
75,56,84,118,159,203
80,50,75,106,142,181
85,45,67,95,127,163
90,41,60,85,115,146
