BW,Beg.,Nov.,Int.,Adv.,Elite
40,24,40,62,89,118
45,27,45,68,95,126
50,31,49,73,102,133
55,34,53,78,107,140
60,37,57,83,113,146
65,40,61,87,118,152
70,43,64,91,123,157
75,45,67,95,127,163
80,48,71,99,132,168
85,51,74,102,136,172
90,53,77,106,140,177
95,55,79,109,144,181
100,58,82,112,147,185
105,60,85,116,151,189
110,62,87,119,154,193
115,64,90,121,158,197
120,66,92,124,161,200
